"zebrafish_ensembl","zebrafish_symbol","human_ensembl","human_symbol","orthology_type"
"ENSDARG00000002235","MMP14A","ENSG00000157227","MMP14","ortholog_one2many"
"ENSDARG00000002240","PSMB6","ENSG00000142507","PSMB6","ortholog_one2one"
"ENSDARG00000002241","KCNA2A","ENSG00000177301","KCNA2","ortholog_one2many"
"ENSDARG00000002249","TBXAS1","ENSG00000059377","TBXAS1","ortholog_one2one"
"ENSDARG00000002255","EPB41L3A","ENSG00000082397","EPB41L3","ortholog_one2many"
"ENSDARG00000002264","MRPL41","ENSG00000182154","MRPL41","ortholog_one2one"
"ENSDARG00000002267","DCAF13","ENSG00000164934","DCAF13","ortholog_one2one"
"ENSDARG00000002285","MCOLN1A","ENSG00000090674","MCOLN1","ortholog_one2many"
"ENSDARG00000002293","SI:CH211-197G15.9","ENSG00000137959","IFI44L","ortholog_many2many"
"ENSDARG00000002293","SI:CH211-197G15.9","ENSG00000137965","IFI44","ortholog_many2many"
"ENSDARG00000002298","ANKRD22","ENSG00000152766","ANKRD22","ortholog_one2one"
"ENSDARG00000002299","ARSH","ENSG00000006756","ARSD","ortholog_one2one"
"ENSDARG00000002300","P2RX2","ENSG00000187848","P2RX2","ortholog_one2one"
"ENSDARG00000002304","GINS2","ENSG00000131153","GINS2","ortholog_one2one"
"ENSDARG00000002305","ME3","ENSG00000151376","ME3","ortholog_one2one"
"ENSDARG00000002311","FABP4B","ENSG00000164687","FABP5","ortholog_many2many"
"ENSDARG00000002311","FABP4B","ENSG00000147588","PMP2","ortholog_many2many"
"ENSDARG00000002311","FABP4B","ENSG00000197416","FABP12","ortholog_many2many"
"ENSDARG00000002311","FABP4B","ENSG00000205186","FABP9","ortholog_many2many"
"ENSDARG00000002330","LHX8A","ENSG00000162624","LHX8","ortholog_one2many"
"ENSDARG00000002332","FRMD6","ENSG00000139926","FRMD6","ortholog_one2one"
"ENSDARG00000002333","FAM102BB","ENSG00000162636","EEIG2","ortholog_one2many"
"ENSDARG00000002339","SGF29","ENSG00000176476","SGF29","ortholog_one2one"
"ENSDARG00000002347","CYP11A1.1","ENSG00000140459","CYP11A1","ortholog_one2many"
"ENSDARG00000002353","TAGAPA","ENSG00000164691","TAGAP","ortholog_one2many"
"ENSDARG00000002355","SHPK","ENSG00000197417","SHPK","ortholog_one2one"
"ENSDARG00000002365","CERS5","ENSG00000139624","CERS5","ortholog_one2one"
"ENSDARG00000002369","UBB","ENSG00000170315","UBB","ortholog_one2one"
"ENSDARG00000002377","MIEF2","ENSG00000177427","MIEF2","ortholog_one2one"
"ENSDARG00000002385","ATM","ENSG00000149311","ATM","ortholog_one2one"
"ENSDARG00000002391","TLCD1","ENSG00000160606","TLCD1","ortholog_one2one"
"ENSDARG00000002394","UGT5D1","ENSG00000145626","UGT3A1","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000135220","UGT2A3","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000213759","UGT2B11","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000135226","UGT2B28","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000109181","UGT2B10","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000167165","UGT1A6","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000288705","UGT1A5","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000244474","UGT1A4","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000288702","UGT1A3","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000242366","UGT1A8","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000242515","UGT1A10","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000244122","UGT1A7","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000241119","UGT1A9","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000171234","UGT2B7","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000156096","UGT2B4","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000271271","UGT2A2","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000173610","UGT2A1","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000196620","UGT2B15","ortholog_many2many"
"ENSDARG00000002394","UGT5D1","ENSG00000197888","UGT2B17","ortholog_many2many"
"ENSDARG00000002401","GALE","ENSG00000117308","GALE","ortholog_one2one"
"ENSDARG00000002402","ERCC3","ENSG00000163161","ERCC3","ortholog_one2one"
"ENSDARG00000002403","NUSAP1","ENSG00000137804","NUSAP1","ortholog_one2one"
"ENSDARG00000002406","ZMYND10","ENSG00000004838","ZMYND10","ortholog_one2one"
"ENSDARG00000002445","PRDM1A","ENSG00000057657","PRDM1","ortholog_one2one"
"ENSDARG00000002463","ARHGEF37","ENSG00000183111","ARHGEF37","ortholog_one2one"
"ENSDARG00000002467","RDH14B","ENSG00000240857","RDH14","ortholog_one2many"
"ENSDARG00000002479","ERCC6L","ENSG00000186871","ERCC6L","ortholog_one2one"
"ENSDARG00000002483","WNT7AB","ENSG00000154764","WNT7A","ortholog_one2many"
"ENSDARG00000002487","NOC3L","ENSG00000173145","NOC3L","ortholog_one2one"
"ENSDARG00000002494","ITGB6","ENSG00000115221","ITGB6","ortholog_one2one"
"ENSDARG00000002506","C7H16ORF87","ENSG00000155330","C16ORF87","ortholog_one2one"
"ENSDARG00000002507","ITGA10","ENSG00000143127","ITGA10","ortholog_one2one"
"ENSDARG00000002508","ANKRD33AB","ENSG00000167612","ANKRD33","ortholog_one2many"
"ENSDARG00000002510","DMBX1B","ENSG00000197587","DMBX1","ortholog_one2many"
"ENSDARG00000002523","HSDL2","ENSG00000119471","HSDL2","ortholog_one2one"
"ENSDARG00000002533","ADORA2B","ENSG00000170425","ADORA2B","ortholog_one2one"
"ENSDARG00000002536","TM9SF4","ENSG00000101337","TM9SF4","ortholog_one2one"
"ENSDARG00000002538","SMU1A","ENSG00000122692","SMU1","ortholog_one2many"
"ENSDARG00000002546","RUNDC3AB","ENSG00000108309","RUNDC3A","ortholog_one2many"
"ENSDARG00000002549","EIF3EB","ENSG00000104408","EIF3E","ortholog_one2many"
"ENSDARG00000002552","MAPKAPK2A","ENSG00000162889","MAPKAPK2","ortholog_one2many"
"ENSDARG00000002564","SYNGR1A","ENSG00000100321","SYNGR1","ortholog_one2many"
"ENSDARG00000002571","TMOD2","ENSG00000138594","TMOD3","ortholog_one2one"
"ENSDARG00000002576","CABP5A","ENSG00000105507","CABP5","ortholog_one2many"
"ENSDARG00000002582","TBX15","ENSG00000092607","TBX15","ortholog_one2one"
"ENSDARG00000002587","DPYSL3","ENSG00000113657","DPYSL3","ortholog_one2one"
"ENSDARG00000002589","MYLPFB","ENSG00000180209","MYL11","ortholog_one2many"
"ENSDARG00000002591","RUVBL1","ENSG00000175792","RUVBL1","ortholog_one2one"
"ENSDARG00000002593","SLC45A2","ENSG00000164175","SLC45A2","ortholog_one2one"
"ENSDARG00000002597","PABPC1L","ENSG00000101104","PABPC1L","ortholog_one2one"
"ENSDARG00000002600","PCSK1","ENSG00000175426","PCSK1","ortholog_one2one"
"ENSDARG00000002609","RNF145A","ENSG00000145860","RNF145","ortholog_one2many"
"ENSDARG00000002613","RPA3","ENSG00000106399","RPA3","ortholog_one2one"
"ENSDARG00000002632","ANXA11B","ENSG00000122359","ANXA11","ortholog_one2many"
"ENSDARG00000002634","B4GALT1","ENSG00000086062","B4GALT1","ortholog_one2many"
"ENSDARG00000002635","FAM184AA","ENSG00000111879","FAM184A","ortholog_one2many"
"ENSDARG00000002642","SH3GL1B","ENSG00000141985","SH3GL1","ortholog_one2many"
"ENSDARG00000002644","RGS5A","ENSG00000143248","RGS5","ortholog_one2one"
"ENSDARG00000002656","STXBP5A","ENSG00000164506","STXBP5","ortholog_one2many"
"ENSDARG00000002659","MAPRE1B","ENSG00000101367","MAPRE1","ortholog_one2many"
"ENSDARG00000002663","OPTN","ENSG00000123240","OPTN","ortholog_one2one"
"ENSDARG00000002666","KCNJ1B","ENSG00000151704","KCNJ1","ortholog_one2many"
"ENSDARG00000002670","ATG14","ENSG00000126775","ATG14","ortholog_one2one"
"ENSDARG00000002682","TBCELA","ENSG00000154114","TBCEL","ortholog_one2many"
"ENSDARG00000002685","FAM113","ENSG00000132635","PCED1A","ortholog_one2many"
"ENSDARG00000002685","FAM113","ENSG00000179715","PCED1B","ortholog_one2many"
"ENSDARG00000002690","RABIF","ENSG00000183155","RABIF","ortholog_one2one"
"ENSDARG00000002696","GNB3B","ENSG00000111664","GNB3","ortholog_one2many"
"ENSDARG00000002701","RASL12","ENSG00000103710","RASL12","ortholog_one2one"
"ENSDARG00000002707","HER11","ENSG00000179111","HES7","ortholog_one2many"
"ENSDARG00000002720","UTP15","ENSG00000164338","UTP15","ortholog_one2one"
"ENSDARG00000002722","ANKRD2","ENSG00000165887","ANKRD2","ortholog_one2one"
"ENSDARG00000002731","SDC2","ENSG00000169439","SDC2","ortholog_one2one"
"ENSDARG00000002732","SPON2B","ENSG00000159674","SPON2","ortholog_one2one"
"ENSDARG00000002748","SEMA6CA","ENSG00000143434","SEMA6C","ortholog_one2many"
"ENSDARG00000002750","PHF20A","ENSG00000025293","PHF20","ortholog_one2many"
"ENSDARG00000002754","PDCD2L","ENSG00000126249","PDCD2L","ortholog_one2one"
"ENSDARG00000002758","DEDD1","ENSG00000160570","DEDD2","ortholog_one2one"
"ENSDARG00000002760","GDF5","ENSG00000125965","GDF5","ortholog_one2one"
"ENSDARG00000002764","MIOX","ENSG00000100253","MIOX","ortholog_one2one"
"ENSDARG00000002771","SLC4A5A","ENSG00000188687","SLC4A5","ortholog_one2many"
"ENSDARG00000002787","TLE3A","ENSG00000140332","TLE3","ortholog_one2many"
"ENSDARG00000002790","AP2M1A","ENSG00000161203","AP2M1","ortholog_one2many"
"ENSDARG00000002791","ATP1A1A.1","ENSG00000163399","ATP1A1","ortholog_one2many"
"ENSDARG00000002792","ARCN1A","ENSG00000095139","ARCN1","ortholog_one2many"
"ENSDARG00000002795","MEIS3","ENSG00000188013","MEIS3P2","ortholog_one2many"
"ENSDARG00000002795","MEIS3","ENSG00000105419","MEIS3","ortholog_one2many"
"ENSDARG00000002798","COG8","ENSG00000213380","COG8","ortholog_one2one"
"ENSDARG00000002816","RASGRF2B","ENSG00000113319","RASGRF2","ortholog_one2many"
"ENSDARG00000002826","CEP57L1","ENSG00000183137","CEP57L1","ortholog_one2one"
"ENSDARG00000002830","TRMT2A","ENSG00000099899","TRMT2A","ortholog_one2one"
"ENSDARG00000002831","COL4A4","ENSG00000081052","COL4A4","ortholog_one2one"
"ENSDARG00000002840","SI:DKEY-28B4.8","ENSG00000187527","ATP13A5","ortholog_many2many"
"ENSDARG00000002840","SI:DKEY-28B4.8","ENSG00000157087","ATP2B2","ortholog_many2many"
"ENSDARG00000002840","SI:DKEY-28B4.8","ENSG00000132681","ATP1A4","ortholog_many2many"
"ENSDARG00000002847","FNDC1","ENSG00000164694","FNDC1","ortholog_one2one"
"ENSDARG00000002877","REPS1","ENSG00000135597","REPS1","ortholog_one2one"
"ENSDARG00000002880","VPS50","ENSG00000004766","VPS50","ortholog_one2many"
"ENSDARG00000002894","AVEN","ENSG00000169857","AVEN","ortholog_one2one"
"ENSDARG00000002897","SI:CH211-160O17.2","ENSG00000151689","INPP1","ortholog_one2one"
"ENSDARG00000002909","TJP3","ENSG00000105289","TJP3","ortholog_one2one"
"ENSDARG00000002912","ADIPOR1A","ENSG00000159346","ADIPOR1","ortholog_one2many"
"ENSDARG00000002916","SEC31B","ENSG00000075826","SEC31B","ortholog_one2one"
"ENSDARG00000002917","GLS2B","ENSG00000135423","GLS2","ortholog_one2many"
"ENSDARG00000002933","GBX2","ENSG00000168505","GBX2","ortholog_one2one"
"ENSDARG00000002945","BGNB","ENSG00000182492","BGN","ortholog_one2many"
"ENSDARG00000002947","ABCD3B","ENSG00000117528","ABCD3","ortholog_one2many"
"ENSDARG00000002949","PPP6C","ENSG00000119414","PPP6C","ortholog_one2one"
"ENSDARG00000002952","SMO","ENSG00000128602","SMO","ortholog_one2one"
