Key	Ligand	Receptor
BMP10_BMPR1A	BMP10	BMPR1A
BMP10_BMPR1B	BMP10	BMPR1B
BMP10_BMPR2	BMP10	BMPR2
BMP10_ENG	BMP10	ENG
BMP15_ACVR1	BMP15	ACVR1
BMP15_ACVR2A	BMP15	ACVR2A
BMP15_ACVR2B	BMP15	ACVR2B
BMP15_BMPR1A	BMP15	BMPR1A
BMP15_BMPR1B	BMP15	BMPR1B
BMP15_BMPR2	BMP15	BMPR2
BMP2_ACVR1	BMP2	ACVR1
BMP2_ACVR2A	BMP2	ACVR2A
BMP2_ACVR2B	BMP2	ACVR2B
BMP2_BMPR1A	BMP2	BMPR1A
BMP2_BMPR1B	BMP2	BMPR1B
BMP2_BMPR2	BMP2	BMPR2
BMP2_ENG	BMP2	ENG
BMP2_HFE2	BMP2	HFE2
BMP3_ACVR1	BMP3	ACVR1
BMP3_ACVR2A	BMP3	ACVR2A
BMP3_ACVR2B	BMP3	ACVR2B
BMP3_BMPR1A	BMP3	BMPR1A
BMP3_BMPR1B	BMP3	BMPR1B
BMP3_BMPR2	BMP3	BMPR2
BMP4_ACVR1	BMP4	ACVR1
BMP4_ACVR2A	BMP4	ACVR2A
BMP4_ACVR2B	BMP4	ACVR2B
BMP4_BMPR1A	BMP4	BMPR1A
BMP4_BMPR1B	BMP4	BMPR1B
BMP4_BMPR2	BMP4	BMPR2
BMP4_HFE2	BMP4	HFE2
BMP5_ACVR1	BMP5	ACVR1
BMP5_ACVR2A	BMP5	ACVR2A
BMP5_ACVR2B	BMP5	ACVR2B
BMP5_BMPR1A	BMP5	BMPR1A
BMP5_BMPR1B	BMP5	BMPR1B
BMP5_BMPR2	BMP5	BMPR2
BMP5_HFE2	BMP5	HFE2
BMP6_ACVR1	BMP6	ACVR1
BMP6_ACVR2A	BMP6	ACVR2A
BMP6_ACVR2B	BMP6	ACVR2B
BMP6_BMPR1A	BMP6	BMPR1A
BMP6_BMPR1B	BMP6	BMPR1B
BMP6_BMPR2	BMP6	BMPR2
BMP7_ACVR1	BMP7	ACVR1
BMP7_ACVR2A	BMP7	ACVR2A
BMP7_ACVR2B	BMP7	ACVR2B
BMP7_BMPR1A	BMP7	BMPR1A
BMP7_BMPR1B	BMP7	BMPR1B
BMP7_BMPR2	BMP7	BMPR2
BMP7_ENG	BMP7	ENG
BMP8B_ACVR1	BMP8B	ACVR1
BMP8B_ACVR2A	BMP8B	ACVR2A
BMP8B_ACVR2B	BMP8B	ACVR2B
BMP8B_BMPR1A	BMP8B	BMPR1A
BMP8B_BMPR1B	BMP8B	BMPR1B
BMP8B_BMPR2	BMP8B	BMPR2
BST1_CAV1	BST1	CAV1
BTC_EGFR	BTC	EGFR
BTC_ERBB2	BTC	ERBB2
BTC_ERBB3	BTC	ERBB3
BTC_ERBB4	BTC	ERBB4
BTLA_CD247	BTLA	CD247
BTLA_CD79A	BTLA	CD79A
BTLA_TNFRSF14	BTLA	TNFRSF14
BTLA_VTCN1	BTLA	VTCN1
C1QA_CD93	C1QA	CD93
C1QA_CR1	C1QA	CR1
C1QA_CSPG4	C1QA	CSPG4
C1QB_LRP1	C1QB	LRP1
C1QTNF1_AVPR2	C1QTNF1	AVPR2
C1QTNF5_MFRP	C1QTNF5	MFRP
C1ORF112_PLSCR4	C1ORF112	PLSCR4
C1ORF194_PLSCR4	C1ORF194	PLSCR4
C1ORF200_LY6G6C	C1ORF200	LY6G6C
C1ORF200_SLC16A4	C1ORF200	SLC16A4
C3_C3AR1	C3	C3AR1
C3_C5AR2	C3	C5AR2
C3_CD19	C3	CD19
C3_CD46	C3	CD46
C3_CD81	C3	CD81
C3_CR1	C3	CR1
C3_IFITM1	C3	IFITM1
C3_ITGAM	C3	ITGAM
C3_ITGAX	C3	ITGAX
C3_ITGB2	C3	ITGB2
C3_LRP1	C3	LRP1
C4A_C3AR1	C4A	C3AR1
C4A_C5AR2	C4A	C5AR2
C4A_CR1	C4A	CR1
C4BPA_BMPR2	C4BPA	BMPR2
C4BPA_CD40	C4BPA	CD40
C4BPA_LRP1	C4BPA	LRP1
C4B_CD46	C4B	CD46
C4B_CR1	C4B	CR1
C5_C5AR1	C5	C5AR1
C5_C5AR2	C5	C5AR2
C5ORF55_TRAF2	C5ORF55	TRAF2
C6ORF15_DDR1	C6ORF15	DDR1
CALCA_CALCR	CALCA	CALCR
CALCA_CALCRL	CALCA	CALCRL
CALCA_RAMP1	CALCA	RAMP1
CALCA_RAMP2	CALCA	RAMP2
CALCB_CALCR	CALCB	CALCR
CALCB_CALCRL	CALCB	CALCRL
CALCB_RAMP1	CALCB	RAMP1
CALM1_ABCA1	CALM1	ABCA1
CALM1_ADCY8	CALM1	ADCY8
CALM1_ADCYAP1R1	CALM1	ADCYAP1R1
CALM1_AQP6	CALM1	AQP6
CALM1_CACNA1C	CALM1	CACNA1C
CALM1_CALCR	CALM1	CALCR
CALM1_CNGA2	CALM1	CNGA2
CALM1_CRHR1	CALM1	CRHR1
CALM1_EGFR	CALM1	EGFR
CALM1_FAS	CALM1	FAS
CALM1_GLP1R	CALM1	GLP1R
CALM1_GLP2R	CALM1	GLP2R
CALM1_GP6	CALM1	GP6
CALM1_GRM3	CALM1	GRM3
CALM1_GRM4	CALM1	GRM4
CALM1_GRM5	CALM1	GRM5
CALM1_GRM7	CALM1	GRM7
CALM1_HMMR	CALM1	HMMR
CALM1_HTR2C	CALM1	HTR2C
CALM1_INSR	CALM1	INSR
CALM1_KCNN4	CALM1	KCNN4
CALM1_KCNQ1	CALM1	KCNQ1
CALM1_KCNQ3	CALM1	KCNQ3
CALM1_KCNQ5	CALM1	KCNQ5
CALM1_MIP	CALM1	MIP
CALM1_MYLK	CALM1	MYLK
CALM1_MYLK2	CALM1	MYLK2
CALM1_OPRM1	CALM1	OPRM1
CALM1_PDE1A	CALM1	PDE1A
CALM1_PDE1B	CALM1	PDE1B
CALM1_PDE1C	CALM1	PDE1C
CALM1_PPAPDC2	CALM1	PPAPDC2
CALM1_PTH2R	CALM1	PTH2R
CALM1_PTPRA	CALM1	PTPRA
CALM1_SCN10A	CALM1	SCN10A
CALM1_SCN4A	CALM1	SCN4A
CALM1_SCTR	CALM1	SCTR
CALM1_SELL	CALM1	SELL
CALM1_TRPC3	CALM1	TRPC3
CALM1_TRPC5	CALM1	TRPC5
CALM1_VIPR1	CALM1	VIPR1
CALM2_ABCA1	CALM2	ABCA1
CALM2_ADCY8	CALM2	ADCY8
CALM2_AQP6	CALM2	AQP6
CALM2_CACNA1C	CALM2	CACNA1C
CALM2_EGFR	CALM2	EGFR
CALM2_GP6	CALM2	GP6
CALM2_GRM5	CALM2	GRM5
CALM2_GRM7	CALM2	GRM7
CALM2_INSR	CALM2	INSR
CALM2_KCNQ1	CALM2	KCNQ1
CALM2_KCNQ3	CALM2	KCNQ3
CALM2_KCNQ5	CALM2	KCNQ5
CALM2_MYLK	CALM2	MYLK
CALM2_MYLK2	CALM2	MYLK2
CALM2_PDE1A	CALM2	PDE1A
CALM2_PDE1B	CALM2	PDE1B
CALM2_PDE1C	CALM2	PDE1C
CALM2_PPAPDC2	CALM2	PPAPDC2
CALM2_SCN10A	CALM2	SCN10A
CALM2_SCN4A	CALM2	SCN4A
CALM2_SELL	CALM2	SELL
CALM2_TRPC5	CALM2	TRPC5
CALM3_ABCA1	CALM3	ABCA1
CALM3_ADCY8	CALM3	ADCY8
CALM3_AQP6	CALM3	AQP6
CALM3_EGFR	CALM3	EGFR
CALM3_GP6	CALM3	GP6
CALM3_GRM5	CALM3	GRM5
CALM3_GRM7	CALM3	GRM7
CALM3_INSR	CALM3	INSR
CALM3_KCNQ1	CALM3	KCNQ1
CALM3_KCNQ3	CALM3	KCNQ3
CALM3_KCNQ5	CALM3	KCNQ5
CALM3_MYLK	CALM3	MYLK
CALM3_MYLK2	CALM3	MYLK2
CALM3_PDE1A	CALM3	PDE1A
CALM3_PDE1B	CALM3	PDE1B
CALM3_PDE1C	CALM3	PDE1C
CALM3_PPAPDC2	CALM3	PPAPDC2
CALM3_SCN10A	CALM3	SCN10A
CALM3_SCN4A	CALM3	SCN4A
CALM3_SELL	CALM3	SELL
CALM3_TRPC5	CALM3	TRPC5
CALR_HLA-F	CALR	HLA-F
CALR_ITGA2B	CALR	ITGA2B
CALR_ITGA3	CALR	ITGA3
CALR_ITGAV	CALR	ITGAV
CALR_LRP1	CALR	LRP1
CALR_MTNR1A	CALR	MTNR1A
CALR_SCARF1	CALR	SCARF1
CALR_TSHR	CALR	TSHR
CAMP_EGFR	CAMP	EGFR
CAMP_FPR2	CAMP	FPR2
CAMP_IGF1R	CAMP	IGF1R
CAMP_P2RX7	CAMP	P2RX7
CCK_CCKAR	CCK	CCKAR
CCK_CCKBR	CCK	CCKBR
CCL11_ACKR2	CCL11	ACKR2
CCL11_ACKR4	CCL11	ACKR4
CCL11_CCR2	CCL11	CCR2
CCL11_CCR3	CCL11	CCR3
CCL11_CCR5	CCL11	CCR5
CCL11_CXCR3	CCL11	CXCR3
CCL13_ACKR2	CCL13	ACKR2
CCL13_ACKR4	CCL13	ACKR4
CCL13_CCR1	CCL13	CCR1
CCL13_CCR2	CCL13	CCR2
CCL13_CCR3	CCL13	CCR3
CCL13_CCR5	CCL13	CCR5
CCL13_CCR9	CCL13	CCR9
CCL13_CXCR3	CCL13	CXCR3
CCL14_ACKR2	CCL14	ACKR2
CCL14_CCR1	CCL14	CCR1
CCL14_CCR3	CCL14	CCR3
CCL14_CCR5	CCL14	CCR5
CCL15_CCR1	CCL15	CCR1
CCL15_CCR3	CCL15	CCR3
CCL16_CCR1	CCL16	CCR1
CCL16_CCR2	CCL16	CCR2
CCL16_CCR5	CCL16	CCR5
CCL16_CCR8	CCL16	CCR8
CCL16_HRH4	CCL16	HRH4
CCL17_CCR4	CCL17	CCR4
CCL17_CCR8	CCL17	CCR8
CCL17_DARC	CCL17	DARC
CCL18_C14ORF1	CCL18	C14ORF1
CCL19_ACKR2	CCL19	ACKR2
CCL19_ACKR4	CCL19	ACKR4
CCL19_CCR10	CCL19	CCR10
CCL19_CCR7	CCL19	CCR7
CCL19_CCRL2	CCL19	CCRL2
CCL19_CXCR3	CCL19	CXCR3
CCL1_CCR8	CCL1	CCR8
CCL20_CCR6	CCL20	CCR6
CCL20_CXCR3	CCL20	CXCR3
CCL21_ACKR2	CCL21	ACKR2
CCL21_ACKR4	CCL21	ACKR4
CCL21_CCR7	CCL21	CCR7
CCL21_CXCR3	CCL21	CXCR3
CCL22_CCR4	CCL22	CCR4
CCL23_CCR1	CCL23	CCR1
CCL24_CCR2	CCL24	CCR2
CCL24_CCR3	CCL24	CCR3
CCL25_ACKR2	CCL25	ACKR2
CCL25_ACKR4	CCL25	ACKR4
CCL25_CCR10	CCL25	CCR10
CCL25_CCR9	CCL25	CCR9
CCL26_CCR1	CCL26	CCR1
CCL26_CCR2	CCL26	CCR2
CCL26_CCR3	CCL26	CCR3
CCL27_ACKR2	CCL27	ACKR2
CCL27_CCR10	CCL27	CCR10
CCL28_ACKR2	CCL28	ACKR2
CCL28_CCR10	CCL28	CCR10
CCL28_CCR3	CCL28	CCR3
CCL2_ACKR2	CCL2	ACKR2
CCL2_ACKR4	CCL2	ACKR4
CCL2_CCR1	CCL2	CCR1
CCL2_CCR10	CCL2	CCR10
CCL2_CCR2	CCL2	CCR2
CCL2_CCR3	CCL2	CCR3
CCL2_CCR4	CCL2	CCR4
CCL2_CCR5	CCL2	CCR5
CCL2_DARC	CCL2	DARC
CCL3L1_CCR1	CCL3L1	CCR1
CCL3L1_CCR3	CCL3L1	CCR3
CCL3L1_CCR5	CCL3L1	CCR5
CCL3L3_ACKR2	CCL3L3	ACKR2
CCL3L3_CCR5	CCL3L3	CCR5
CCL3_ACKR2	CCL3	ACKR2
CCL3_CCR1	CCL3	CCR1
CCL3_CCR3	CCL3	CCR3
CCL3_CCR4	CCL3	CCR4
CCL3_CCR5	CCL3	CCR5
CCL4_ACKR2	CCL4	ACKR2
CCL4_CCR1	CCL4	CCR1
CCL4_CCR3	CCL4	CCR3
CCL4_CCR5	CCL4	CCR5
CCL4_CCR8	CCL4	CCR8
CCL5_ACKR2	CCL5	ACKR2
CCL5_ACKR4	CCL5	ACKR4
CCL5_CCR1	CCL5	CCR1
CCL5_CCR3	CCL5	CCR3
CCL5_CCR4	CCL5	CCR4
CCL5_CCR5	CCL5	CCR5
CCL5_CXCR3	CCL5	CXCR3
CCL5_DARC	CCL5	DARC
CCL5_GPR75	CCL5	GPR75
CCL5_SDC1	CCL5	SDC1
CCL5_SDC4	CCL5	SDC4
CCL7_ACKR2	CCL7	ACKR2
CCL7_ACKR4	CCL7	ACKR4
CCL7_CCR1	CCL7	CCR1
CCL7_CCR10	CCL7	CCR10
CCL7_CCR2	CCL7	CCR2
CCL7_CCR3	CCL7	CCR3
CCL7_CCR5	CCL7	CCR5
CCL7_CXCR3	CCL7	CXCR3
CCL7_DARC	CCL7	DARC
CCL8_ACKR2	CCL8	ACKR2
CCL8_ACKR4	CCL8	ACKR4
CCL8_CCR1	CCL8	CCR1
CCL8_CCR2	CCL8	CCR2
CCL8_CCR3	CCL8	CCR3
CCL8_CCR5	CCL8	CCR5
CCL8_DARC	CCL8	DARC
CD14_ITGA4	CD14	ITGA4
CD14_ITGB1	CD14	ITGB1
CD24_SELP	CD24	SELP
CD34_SELL	CD34	SELL
CD34_SELP	CD34	SELP
CD40LG_CD40	CD40LG	CD40
CD40LG_ITGAM	CD40LG	ITGAM
CD40LG_ITGB2	CD40LG	ITGB2
CD40LG_TRAF3	CD40LG	TRAF3
CD55_CD97	CD55	CD97
CD55_CR1	CD55	CR1
CD55_EMR2	CD55	EMR2
CD5L_CD5	CD5L	CD5
CD70_CD27	CD70	CD27
CDH1_CDH2	CDH1	CDH2
CDH1_EGFR	CDH1	EGFR
CDH1_ERBB3	CDH1	ERBB3
CDH1_IGF1R	CDH1	IGF1R
CDH1_ITGAE	CDH1	ITGAE
CDH1_ITGB7	CDH1	ITGB7
CDH1_KLRG1	CDH1	KLRG1
CDH1_LRP5	CDH1	LRP5
CDH1_PTPRF	CDH1	PTPRF
CDH1_PTPRM	CDH1	PTPRM
CELA3B_CHRM3	CELA3B	CHRM3
CEL_CXCR4	CEL	CXCR4
CFH_ITGAM	CFH	ITGAM
CFH_SELL	CFH	SELL
CGA_FSHR	CGA	FSHR
CGA_LHCGR	CGA	LHCGR
CGA_SIRPA	CGA	SIRPA
CGA_TSHR	CGA	TSHR
CGB8_SIRPA	CGB8	SIRPA
CGB_LHCGR	CGB	LHCGR
CGN_F11R	CGN	F11R
CGN_OCLN	CGN	OCLN
CGN_TGFBR1	CGN	TGFBR1
CGN_TGFBR2	CGN	TGFBR2
CHAD_ITGA2	CHAD	ITGA2
CHAD_ITGB1	CHAD	ITGB1
CLCF1_CNTFR	CLCF1	CNTFR
CLCF1_CRLF1	CLCF1	CRLF1
CLCF1_IL6ST	CLCF1	IL6ST
CLCF1_LIFR	CLCF1	LIFR
CLEC11A_KIT	CLEC11A	KIT
CLEC3A_CLEC10A	CLEC3A	CLEC10A
CLEC3A_CLEC2B	CLEC3A	CLEC2B
CNTF_CNTFR	CNTF	CNTFR
CNTF_IL6R	CNTF	IL6R
CNTF_IL6ST	CNTF	IL6ST
CNTF_LIFR	CNTF	LIFR
CNTN2_CNTN1	CNTN2	CNTN1
CNTN2_CNTNAP2	CNTN2	CNTNAP2
CNTN2_NRCAM	CNTN2	NRCAM
CNTN2_NRP1	CNTN2	NRP1
CNTN4_PTPRG	CNTN4	PTPRG
COL11A1_DDR1	COL11A1	DDR1
COL11A1_ITGA2	COL11A1	ITGA2
COL11A1_ITGB1	COL11A1	ITGB1
COL14A1_CD44	COL14A1	CD44
COL18A1_GPC1	COL18A1	GPC1
COL18A1_GPC4	COL18A1	GPC4
COL18A1_ITGA5	COL18A1	ITGA5
COL18A1_ITGB1	COL18A1	ITGB1
COL18A1_KDR	COL18A1	KDR
COL1A1_CD36	COL1A1	CD36
COL1A1_CD44	COL1A1	CD44
COL1A1_CD93	COL1A1	CD93
COL1A1_DDR1	COL1A1	DDR1
COL1A1_DDR2	COL1A1	DDR2
COL1A1_FLT4	COL1A1	FLT4
COL1A1_ITGA1	COL1A1	ITGA1
COL1A1_ITGA11	COL1A1	ITGA11
COL1A1_ITGA2	COL1A1	ITGA2
COL1A1_ITGA5	COL1A1	ITGA5
COL1A1_ITGAV	COL1A1	ITGAV
COL1A1_ITGB1	COL1A1	ITGB1
COL1A1_TMPRSS6	COL1A1	TMPRSS6
COL1A2_CD36	COL1A2	CD36
COL1A2_CD44	COL1A2	CD44
COL1A2_CD93	COL1A2	CD93
COL1A2_FLT4	COL1A2	FLT4
COL1A2_ITGA1	COL1A2	ITGA1
COL1A2_ITGA11	COL1A2	ITGA11
COL1A2_ITGA2	COL1A2	ITGA2
COL1A2_ITGA2B	COL1A2	ITGA2B
COL1A2_ITGAV	COL1A2	ITGAV
COL1A2_ITGB1	COL1A2	ITGB1
COL1A2_ITGB3	COL1A2	ITGB3
COL2A1_DDR1	COL2A1	DDR1
COL2A1_ITGA1	COL2A1	ITGA1
COL2A1_ITGA10	COL2A1	ITGA10
COL2A1_ITGA2	COL2A1	ITGA2
COL2A1_ITGA2B	COL2A1	ITGA2B
COL2A1_ITGB1	COL2A1	ITGB1
COL2A1_MAG	COL2A1	MAG
COL2A1_OR1E1	COL2A1	OR1E1
COL2A1_TNFRSF10A	COL2A1	TNFRSF10A
COL3A1_DDR1	COL3A1	DDR1
COL3A1_DDR2	COL3A1	DDR2
COL3A1_ITGA2	COL3A1	ITGA2
COL3A1_ITGB1	COL3A1	ITGB1
COL3A1_MAG	COL3A1	MAG
COL4A1_CD47	COL4A1	CD47
COL4A1_CD93	COL4A1	CD93
COL4A1_ITGA1	COL4A1	ITGA1
COL4A1_ITGA2	COL4A1	ITGA2
COL4A1_ITGAV	COL4A1	ITGAV
COL4A1_ITGB1	COL4A1	ITGB1
COL4A1_ITGB8	COL4A1	ITGB8
COL4A2_CD93	COL4A2	CD93
COL4A3_CD47	COL4A3	CD47
COL4A3_CD93	COL4A3	CD93
COL4A3_ITGA1	COL4A3	ITGA1
COL4A3_ITGA2	COL4A3	ITGA2
COL4A3_ITGAV	COL4A3	ITGAV
COL4A3_ITGB1	COL4A3	ITGB1
COL4A4_CD47	COL4A4	CD47
COL4A4_CD93	COL4A4	CD93
COL4A4_ITGA1	COL4A4	ITGA1
COL4A4_ITGA2	COL4A4	ITGA2
COL4A4_ITGAV	COL4A4	ITGAV
COL4A4_ITGB1	COL4A4	ITGB1
COL4A5_CD47	COL4A5	CD47
COL4A5_CD93	COL4A5	CD93
COL4A5_ITGA1	COL4A5	ITGA1
COL4A5_ITGA2	COL4A5	ITGA2
COL4A5_ITGAV	COL4A5	ITGAV
COL4A5_ITGB1	COL4A5	ITGB1
COL4A6_CD47	COL4A6	CD47
COL4A6_CD93	COL4A6	CD93
COL4A6_ITGA1	COL4A6	ITGA1
COL4A6_ITGA2	COL4A6	ITGA2
COL4A6_ITGAV	COL4A6	ITGAV
COL4A6_ITGB1	COL4A6	ITGB1
COL5A1_ITGA1	COL5A1	ITGA1
COL5A1_ITGB1	COL5A1	ITGB1
COL5A1_SDC3	COL5A1	SDC3
COL5A2_DDR1	COL5A2	DDR1
COL5A2_ITGA1	COL5A2	ITGA1
COL5A2_ITGB1	COL5A2	ITGB1
COL5A3_SDC3	COL5A3	SDC3
COL6A1_ITGA1	COL6A1	ITGA1
COL6A1_ITGA2	COL6A1	ITGA2
COL6A1_ITGA6	COL6A1	ITGA6
COL6A1_ITGB1	COL6A1	ITGB1
COL6A2_ITGA1	COL6A2	ITGA1
COL6A2_ITGA2	COL6A2	ITGA2
COL6A2_ITGB1	COL6A2	ITGB1
COL6A3_ITGA1	COL6A3	ITGA1
COL6A3_ITGA2	COL6A3	ITGA2
COL6A3_ITGB1	COL6A3	ITGB1
COL7A1_ITGA2	COL7A1	ITGA2
COL7A1_ITGB1	COL7A1	ITGB1
COL8A1_ITGA1	COL8A1	ITGA1
COL8A1_ITGA2	COL8A1	ITGA2
COL9A1_MAG	COL9A1	MAG
COL9A2_MAG	COL9A2	MAG
COL9A3_MAG	COL9A3	MAG
COLQ_MUSK	COLQ	MUSK
CORT_GHSR	CORT	GHSR
CORT_MRGPRX2	CORT	MRGPRX2
CORT_SSTR1	CORT	SSTR1
CORT_SSTR2	CORT	SSTR2
CORT_SSTR3	CORT	SSTR3
CORT_SSTR4	CORT	SSTR4
CORT_SSTR5	CORT	SSTR5
