TF	Targets	Key	Mode
ASCL1	CHRNA5	ASCL1_CHRNA5	unknown
ASCL1	CHRNB4	ASCL1_CHRNB4	unknown
ASCL1	DKK1	ASCL1_DKK1	unknown
ASCL1	IGF2	ASCL1_IGF2	unknown
ASCL1	PCSK6	ASCL1_PCSK6	unknown
ASCL1	TPH1	ASCL1_TPH1	unknown
ASH1L	TGFB1	ASH1L_TGFB1	unknown
ASH1L	TIMP1	ASH1L_TIMP1	unknown
ASXL1	FABP4	ASXL1_FABP4	unknown
ATF1	BCL2	ATF1_BCL2	unknown
ATF1	CCNA1	ATF1_CCNA1	unknown
ATF1	CFTR	ATF1_CFTR	unknown
ATF1	CGA	ATF1_CGA	unknown
ATF1	CYP11B1	ATF1_CYP11B1	unknown
ATF1	CYP11B2	ATF1_CYP11B2	unknown
ATF1	ERBB2	ATF1_ERBB2	unknown
ATF1	FLT1	ATF1_FLT1	unknown
ATF1	FTH1	ATF1_FTH1	unknown
ATF1	GABPA	ATF1_GABPA	unknown
ATF1	IL10	ATF1_IL10	unknown
ATF1	LDHA	ATF1_LDHA	unknown
ATF1	MAP1LC3B	ATF1_MAP1LC3B	unknown
ATF1	MITF	ATF1_MITF	unknown
ATF1	MUC2	ATF1_MUC2	unknown
ATF1	NTS	ATF1_NTS	unknown
ATF1	PCSK1	ATF1_PCSK1	unknown
ATF1	PLAUR	ATF1_PLAUR	unknown
ATF1	SLC20A1	ATF1_SLC20A1	unknown
ATF1	SLC22A8	ATF1_SLC22A8	unknown
ATF1	TGFB2	ATF1_TGFB2	unknown
ATF1	TH	ATF1_TH	unknown
ATF1	TOP2A	ATF1_TOP2A	unknown
ATF1	USP7	ATF1_USP7	unknown
ATF2	APOC3	ATF2_APOC3	unknown
ATF2	ATF3	ATF2_ATF3	unknown
ATF2	CCND1	ATF2_CCND1	unknown
ATF2	CDKN1A	ATF2_CDKN1A	unknown
ATF2	CYP11B1	ATF2_CYP11B1	unknown
ATF2	CYP11B2	ATF2_CYP11B2	unknown
ATF2	DUSP1	ATF2_DUSP1	unknown
ATF2	DUSP10	ATF2_DUSP10	unknown
ATF2	FAS	ATF2_FAS	unknown
ATF2	FASLG	ATF2_FASLG	unknown
ATF2	FN1	ATF2_FN1	unknown
ATF2	KAT5	ATF2_KAT5	unknown
ATF2	IFNB1	ATF2_IFNB1	unknown
ATF2	IFNG	ATF2_IFNG	unknown
ATF2	IMPDH2	ATF2_IMPDH2	unknown
ATF2	INS	ATF2_INS	unknown
ATF2	ITGB8	ATF2_ITGB8	unknown
ATF2	JUN	ATF2_JUN	unknown
ATF2	MAP3K1	ATF2_MAP3K1	unknown
ATF2	MMP2	ATF2_MMP2	unknown
ATF2	NOS3	ATF2_NOS3	unknown
ATF2	PCK1	ATF2_PCK1	unknown
ATF2	PCK2	ATF2_PCK2	unknown
ATF2	PLAT	ATF2_PLAT	unknown
ATF2	PLAU	ATF2_PLAU	unknown
ATF2	POLB	ATF2_POLB	unknown
ATF2	PTGS2	ATF2_PTGS2	unknown
ATF2	RELA	ATF2_RELA	unknown
ATF2	RETN	ATF2_RETN	unknown
ATF2	ST3GAL5	ATF2_ST3GAL5	unknown
ATF2	TGFB2	ATF2_TGFB2	unknown
ATF2	TNF	ATF2_TNF	unknown
ATF3	ADIPOR1	ATF3_ADIPOR1	unknown
ATF3	ADIPOR2	ATF3_ADIPOR2	unknown
ATF3	AK4	ATF3_AK4	unknown
ATF3	ASNS	ATF3_ASNS	unknown
ATF3	CCL5	ATF3_CCL5	unknown
ATF3	CD82	ATF3_CD82	unknown
ATF3	DDIT3	ATF3_DDIT3	unknown
ATF3	GDF15	ATF3_GDF15	unknown
ATF3	ID1	ATF3_ID1	unknown
ATF3	IFNG	ATF3_IFNG	unknown
ATF3	PCLAF	ATF3_PCLAF	unknown
ATF3	LDLR	ATF3_LDLR	unknown
ATF3	MMP2	ATF3_MMP2	unknown
ATF3	PENK	ATF3_PENK	unknown
ATF3	SELE	ATF3_SELE	unknown
ATF3	TP53	ATF3_TP53	unknown
ATF4	APOE	ATF4_APOE	unknown
ATF4	ASNS	ATF4_ASNS	unknown
ATF4	ATF3	ATF4_ATF3	unknown
ATF4	ATG5	ATF4_ATG5	unknown
ATF4	BGLAP	ATF4_BGLAP	unknown
ATF4	CA9	ATF4_CA9	unknown
ATF4	CCL2	ATF4_CCL2	unknown
ATF4	CEBPB	ATF4_CEBPB	unknown
ATF4	CHAC1	ATF4_CHAC1	unknown
ATF4	CXCL8	ATF4_CXCL8	unknown
ATF4	DDIT3	ATF4_DDIT3	unknown
ATF4	DDIT4	ATF4_DDIT4	unknown
ATF4	DDR2	ATF4_DDR2	unknown
ATF4	DISC1	ATF4_DISC1	unknown
ATF4	F7	ATF4_F7	unknown
ATF4	FGF19	ATF4_FGF19	unknown
ATF4	FGF21	ATF4_FGF21	unknown
ATF4	HRK	ATF4_HRK	unknown
ATF4	HSPA5	ATF4_HSPA5	unknown
ATF4	IGFBP1	ATF4_IGFBP1	unknown
ATF4	IL6	ATF4_IL6	unknown
ATF4	IRF7	ATF4_IRF7	unknown
ATF4	MAP1LC3B	ATF4_MAP1LC3B	unknown
ATF4	MCL1	ATF4_MCL1	unknown
ATF4	NDC80	ATF4_NDC80	unknown
ATF4	NUPR1	ATF4_NUPR1	unknown
ATF4	PLAU	ATF4_PLAU	unknown
ATF4	PTGS2	ATF4_PTGS2	unknown
ATF4	S100P	ATF4_S100P	unknown
ATF4	SIGMAR1	ATF4_SIGMAR1	unknown
ATF4	SIRT1	ATF4_SIRT1	unknown
ATF4	SIRT2	ATF4_SIRT2	unknown
ATF4	TNFRSF10B	ATF4_TNFRSF10B	unknown
ATF4	TRIB3	ATF4_TRIB3	unknown
ATF4	VEGFA	ATF4_VEGFA	unknown
ATF5	BCL2	ATF5_BCL2	unknown
ATF5	CCND3	ATF5_CCND3	unknown
ATF5	CREB1	ATF5_CREB1	unknown
ATF5	CYP2B6	ATF5_CYP2B6	unknown
ATF5	DISC1	ATF5_DISC1	unknown
ATF5	EGR1	ATF5_EGR1	unknown
ATF5	ID1	ATF5_ID1	unknown
ATF5	SH2D1A	ATF5_SH2D1A	unknown
ATF6	ATP2A2	ATF6_ATP2A2	unknown
ATF6	BGLAP	ATF6_BGLAP	unknown
ATF6	DDIT3	ATF6_DDIT3	unknown
ATF6	DNAJC3	ATF6_DNAJC3	unknown
ATF6	HSPA5	ATF6_HSPA5	unknown
ATF6	MAFA	ATF6_MAFA	unknown
ATF6	NR0B2	ATF6_NR0B2	unknown
ATF6	NUCB1	ATF6_NUCB1	unknown
ATF6	PDX1	ATF6_PDX1	unknown
ATF6	RTN3	ATF6_RTN3	unknown
ATF6	SRF	ATF6_SRF	unknown
ATF6	STARD4	ATF6_STARD4	unknown
ATF6	WBP1	ATF6_WBP1	unknown
ATF6	XBP1	ATF6_XBP1	unknown
ATF7	ERBB2	ATF7_ERBB2	unknown
ATF7	TAF12	ATF7_TAF12	unknown
ATM	APLF	ATM_APLF	unknown
ATM	BAX	ATM_BAX	unknown
ATM	BCL2	ATM_BCL2	unknown
ATM	CDKN1A	ATM_CDKN1A	unknown
ATM	CFLAR	ATM_CFLAR	unknown
ATM	DUSP1	ATM_DUSP1	unknown
ATM	FAS	ATM_FAS	unknown
ATM	FOXM1	ATM_FOXM1	unknown
ATM	GADD45A	ATM_GADD45A	unknown
ATM	IGF1R	ATM_IGF1R	unknown
ATM	KLRK1	ATM_KLRK1	unknown
ATM	MCL1	ATM_MCL1	unknown
ATM	MTF1	ATM_MTF1	unknown
ATM	PBK	ATM_PBK	unknown
ATM	PCNA	ATM_PCNA	unknown
ATM	PMAIP1	ATM_PMAIP1	unknown
ATM	PVR	ATM_PVR	unknown
ATM	SLC2A1	ATM_SLC2A1	unknown
ATM	SP1	ATM_SP1	unknown
ATM	TERF1	ATM_TERF1	unknown
ATM	TNFRSF10B	ATM_TNFRSF10B	unknown
ATM	VEGFA	ATM_VEGFA	unknown
ATOH1	HES6	ATOH1_HES6	unknown
ATOH1	MUC2	ATOH1_MUC2	unknown
ATRX	HBA1	ATRX_HBA1	unknown
ATRX	HBA2	ATRX_HBA2	unknown
BACH1	HMOX1	BACH1_HMOX1	unknown
BACH1	MMP1	BACH1_MMP1	unknown
BACH2	BCL2	BACH2_BCL2	unknown
BACH2	IL2	BACH2_IL2	unknown
BACH2	XBP1	BACH2_XBP1	unknown
BARD1	ESR1	BARD1_ESR1	unknown
BARX2	ESR1	BARX2_ESR1	unknown
BATF	CD2	BATF_CD2	unknown
BCL11A	GATA1	BCL11A_GATA1	unknown
BCL3	CTCF	BCL3_CTCF	unknown
BCL3	EGFR	BCL3_EGFR	unknown
BCL3	MYB	BCL3_MYB	unknown
BCL3	NFKB1	BCL3_NFKB1	unknown
BCL3	RELA	BCL3_RELA	unknown
BCL6	BCL2L1	BCL6_BCL2L1	unknown
BCL6	BCL6	BCL6_BCL6	unknown
BCL6	CCND2	BCL6_CCND2	unknown
BCL6	CD80	BCL6_CD80	unknown
BCL6	CDKN1A	BCL6_CDKN1A	unknown
BCL6	CDKN2B	BCL6_CDKN2B	unknown
BCL6	CHEK1	BCL6_CHEK1	unknown
BCL6	FCER2	BCL6_FCER2	unknown
BCL6	HDAC7	BCL6_HDAC7	unknown
BCL6	IRF4	BCL6_IRF4	unknown
BCL6	LITAF	BCL6_LITAF	unknown
BCL6	MYC	BCL6_MYC	unknown
BCL6	NFKB1	BCL6_NFKB1	unknown
BCL6	PDCD2	BCL6_PDCD2	unknown
BCL6	STAT3	BCL6_STAT3	unknown
BCL6	SUMO1	BCL6_SUMO1	unknown
BCL6	XBP1	BCL6_XBP1	unknown
BDP1	MYC	BDP1_MYC	unknown
BDP1	RB1	BDP1_RB1	unknown
BDP1	TP53	BDP1_TP53	unknown
BHLHE41	CCND1	BHLHE41_CCND1	unknown
BHLHE41	MLH1	BHLHE41_MLH1	unknown
BIN1	MYC	BIN1_MYC	unknown
BMI1	TERT	BMI1_TERT	unknown
BPTF	HOXC8	BPTF_HOXC8	unknown
BRCA1	AREG	BRCA1_AREG	unknown
BRCA1	ASPM	BRCA1_ASPM	unknown
BRCA1	ATM	BRCA1_ATM	unknown
BRCA1	BACH1	BRCA1_BACH1	unknown
BRCA1	BRCA2	BRCA1_BRCA2	unknown
BRCA1	CASR	BRCA1_CASR	unknown
BRCA1	CCNB1	BRCA1_CCNB1	unknown
BRCA1	CCND1	BRCA1_CCND1	unknown
BRCA1	CDH3	BRCA1_CDH3	unknown
BRCA1	CDKN1A	BRCA1_CDKN1A	unknown
BRCA1	CDKN1B	BRCA1_CDKN1B	unknown
BRCA1	CTSD	BRCA1_CTSD	unknown
BRCA1	CXCL1	BRCA1_CXCL1	unknown
BRCA1	CYP19A1	BRCA1_CYP19A1	unknown
BRCA1	CYP1A1	BRCA1_CYP1A1	unknown
BRCA1	CYP1B1	BRCA1_CYP1B1	unknown
BRCA1	DDB2	BRCA1_DDB2	unknown
BRCA1	DDIT3	BRCA1_DDIT3	unknown
BRCA1	E2F6	BRCA1_E2F6	unknown
BRCA1	EGFR	BRCA1_EGFR	unknown
BRCA1	EGR1	BRCA1_EGR1	unknown
BRCA1	EP300	BRCA1_EP300	unknown
BRCA1	ESR1	BRCA1_ESR1	unknown
BRCA1	FOS	BRCA1_FOS	unknown
BRCA1	FOXC1	BRCA1_FOXC1	unknown
BRCA1	FOXC2	BRCA1_FOXC2	unknown
BRCA1	FST	BRCA1_FST	unknown
BRCA1	GADD45A	BRCA1_GADD45A	unknown
BRCA1	HIF1A	BRCA1_HIF1A	unknown
BRCA1	HMGA2	BRCA1_HMGA2	unknown
BRCA1	HNRNPA2B1	BRCA1_HNRNPA2B1	unknown
BRCA1	HSPA5	BRCA1_HSPA5	unknown
BRCA1	IFNA1	BRCA1_IFNA1	unknown
BRCA1	IGF1	BRCA1_IGF1	unknown
BRCA1	IGF1R	BRCA1_IGF1R	unknown
BRCA1	IRF7	BRCA1_IRF7	unknown
BRCA1	IRF9	BRCA1_IRF9	unknown
BRCA1	JAK1	BRCA1_JAK1	unknown
BRCA1	JAK2	BRCA1_JAK2	unknown
BRCA1	KHSRP	BRCA1_KHSRP	unknown
BRCA1	KRT17	BRCA1_KRT17	unknown
BRCA1	KRT18	BRCA1_KRT18	unknown
BRCA1	KRT5	BRCA1_KRT5	unknown
BRCA1	MAD2L1	BRCA1_MAD2L1	unknown
BRCA1	MDC1	BRCA1_MDC1	unknown
BRCA1	MDM2	BRCA1_MDM2	unknown
BRCA1	MYC	BRCA1_MYC	unknown
BRCA1	RNASEL	BRCA1_RNASEL	unknown
BRCA1	S100A2	BRCA1_S100A2	unknown
BRCA1	SIRT1	BRCA1_SIRT1	unknown
BRCA1	STAT1	BRCA1_STAT1	unknown
BRCA1	STAT2	BRCA1_STAT2	unknown
BRCA1	STAT3	BRCA1_STAT3	unknown
BRCA1	TFF1	BRCA1_TFF1	unknown
BRCA1	TP63	BRCA1_TP63	unknown
BRCA1	VEGFA	BRCA1_VEGFA	unknown
BRCA1	XPC	BRCA1_XPC	unknown
BRCA2	DMC1	BRCA2_DMC1	unknown
BRCA2	PSMD3	BRCA2_PSMD3	unknown
BRCA2	PSMD6	BRCA2_PSMD6	unknown
BRCA2	RAD51	BRCA2_RAD51	unknown
BRD7	BRD2	BRD7_BRD2	unknown
BRD7	BRD3	BRD7_BRD3	unknown
BRD7	E2F3	BRD7_E2F3	unknown
BRIP1	BARD1	BRIP1_BARD1	unknown
BRIP1	MLH1	BRIP1_MLH1	unknown
BRPF1	ING5	BRPF1_ING5	unknown
BRPF1	MEAF6	BRPF1_MEAF6	unknown
BTAF1	DR1	BTAF1_DR1	unknown
BTAF1	TBP	BTAF1_TBP	unknown
BTF3	ABL2	BTF3_ABL2	unknown
BTF3	ATM	BTF3_ATM	unknown
BTF3	EPHB2	BTF3_EPHB2	unknown
BTF3	HPSE2	BTF3_HPSE2	unknown
BTF3	MADCAM1	BTF3_MADCAM1	unknown
BTF3	MRVI1	BTF3_MRVI1	unknown
BTF3	NFKB1	BTF3_NFKB1	unknown
BTF3	RRAS2	BTF3_RRAS2	unknown
BTF3	SSPN	BTF3_SSPN	unknown
BTG2	CCND1	BTG2_CCND1	unknown
BTG2	HRAS	BTG2_HRAS	unknown
BTG2	KLK3	BTG2_KLK3	unknown
BTG2	SPHK1	BTG2_SPHK1	unknown
CBFA2T3	TCF12	CBFA2T3_TCF12	unknown
CBFA2T3	ZNF652	CBFA2T3_ZNF652	unknown
CBFB	GATA1	CBFB_GATA1	unknown
CBFB	RUNX1	CBFB_RUNX1	unknown
CBFB	RUNX2	CBFB_RUNX2	unknown
CBFB	RUNX3	CBFB_RUNX3	unknown
CBX7	CCNE1	CBX7_CCNE1	unknown
CBX7	CDH1	CBX7_CDH1	unknown
CBX8	CDKN1A	CBX8_CDKN1A	unknown
CDC5L	PLRG1	CDC5L_PLRG1	unknown
CDCA7L	MAOB	CDCA7L_MAOB	unknown
CDX1	DSC2	CDX1_DSC2	unknown
CDX1	IRF2BP2	CDX1_IRF2BP2	unknown
CDX1	KRT20	CDX1_KRT20	unknown
CDX1	PCNA	CDX1_PCNA	unknown
CDX1	POSTN	CDX1_POSTN	unknown
CDX1	PPARG	CDX1_PPARG	unknown
CDX1	PTGS2	CDX1_PTGS2	unknown
CDX1	TBP	CDX1_TBP	unknown
CDX2	ABCB1	CDX2_ABCB1	unknown
CDX2	ACAT2	CDX2_ACAT2	unknown
CDX2	APC	CDX2_APC	unknown
CDX2	AXIN2	CDX2_AXIN2	unknown
CDX2	CDH17	CDX2_CDH17	unknown
CDX2	CDKN1A	CDX2_CDKN1A	unknown
CDX2	CFTR	CDX2_CFTR	unknown
CDX2	DSC2	CDX2_DSC2	unknown
CDX2	ELMO3	CDX2_ELMO3	unknown
CDX2	FUT2	CDX2_FUT2	unknown
CDX2	GSK3B	CDX2_GSK3B	unknown
CDX2	GSPT1	CDX2_GSPT1	unknown
CDX2	GSTP1	CDX2_GSTP1	unknown
CDX2	GUCY2C	CDX2_GUCY2C	unknown
CDX2	HEPH	CDX2_HEPH	unknown
CDX2	IGFBP3	CDX2_IGFBP3	unknown
CDX2	KLF4	CDX2_KLF4	unknown
CDX2	LCT	CDX2_LCT	unknown
CDX2	MEP1A	CDX2_MEP1A	unknown
CDX2	MUC17	CDX2_MUC17	unknown
CDX2	MUC2	CDX2_MUC2	unknown
CDX2	PTGS2	CDX2_PTGS2	unknown
CDX2	REG4	CDX2_REG4	unknown
CDX2	SLC15A1	CDX2_SLC15A1	unknown
CDX2	SLC9A2	CDX2_SLC9A2	unknown
CDX2	SP1	CDX2_SP1	unknown
CDX2	TFF3	CDX2_TFF3	unknown
CDX2	UGT1A10	CDX2_UGT1A10	unknown
CDX2	UGT1A8	CDX2_UGT1A8	unknown
CDX2	UGT2B15	CDX2_UGT2B15	unknown
CDX2	UGT2B17	CDX2_UGT2B17	unknown
CDX2	VDR	CDX2_VDR	unknown
CEBPA	AFP	CEBPA_AFP	unknown
CEBPA	ALB	CEBPA_ALB	unknown
CEBPA	BCL2	CEBPA_BCL2	unknown
CEBPA	CCL2	CEBPA_CCL2	unknown
CEBPA	CD163	CEBPA_CD163	unknown
CEBPA	CRMP1	CEBPA_CRMP1	unknown
CEBPA	CSF1	CEBPA_CSF1	unknown
CEBPA	CSF2RA	CEBPA_CSF2RA	unknown
CEBPA	CSF3R	CEBPA_CSF3R	unknown
CEBPA	CXCR2	CEBPA_CXCR2	unknown
CEBPA	CYP3A4	CEBPA_CYP3A4	unknown
CEBPA	DEFA1	CEBPA_DEFA1	unknown
CEBPA	DEFA3	CEBPA_DEFA3	unknown
CEBPA	ELANE	CEBPA_ELANE	unknown
CEBPA	F9	CEBPA_F9	unknown
CEBPA	FN1	CEBPA_FN1	unknown
CEBPA	GAPDH	CEBPA_GAPDH	unknown
CEBPA	HAMP	CEBPA_HAMP	unknown
CEBPA	HK3	CEBPA_HK3	unknown
CEBPA	HOMER3	CEBPA_HOMER3	unknown
CEBPA	HSD17B11	CEBPA_HSD17B11	unknown
CEBPA	HSPA4	CEBPA_HSPA4	unknown
CEBPA	ICAM1	CEBPA_ICAM1	unknown
CEBPA	ID1	CEBPA_ID1	unknown
CEBPA	IGF1	CEBPA_IGF1	unknown
CEBPA	IGF2	CEBPA_IGF2	unknown
CEBPA	IL10	CEBPA_IL10	unknown
CEBPA	IL3	CEBPA_IL3	unknown
CEBPA	IL5	CEBPA_IL5	unknown
CEBPA	IL6	CEBPA_IL6	unknown
CEBPA	INSR	CEBPA_INSR	unknown
CEBPA	ITGAX	CEBPA_ITGAX	unknown
CEBPA	LEP	CEBPA_LEP	unknown
CEBPA	MAD1L1	CEBPA_MAD1L1	unknown
CEBPA	MSR1	CEBPA_MSR1	unknown
