"Pair.Name","Ligand.ApprovedSymbol","Ligand.Name","Receptor.ApprovedSymbol","Receptor.Name","DLRP","HPMR","IUPHAR","HPRD","HPMR.Ligand","HPMR.Receptor","Pair.Source","Pair.Evidence","pathway_name","annotation","match_status"
"BMP15_BMPR1B","BMP15","bone morphogenetic protein 15","BMPR1B","bone morphogenetic protein receptor, type IB","DLRP","HPMR",NA,"HPRD","BMP15","BMPR1B","known","literature supported","BMP","Secreted Signaling","matched"
"BMP15_BMPR2","BMP15","bone morphogenetic protein 15","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","DLRP","HPMR",NA,NA,"BMP15","BMPR2","known","literature supported","BMP","Secreted Signaling","matched"
"BMP2_ACVR2A","BMP2","bone morphogenetic protein 2","ACVR2A","activin A receptor, type IIA","DLRP",NA,NA,NA,"BMP2","ACVR2A","known","literature supported","BMP","Secreted Signaling","matched"
"BMP2_ACVR2B","BMP2","bone morphogenetic protein 2","ACVR2B","activin A receptor, type IIB","DLRP",NA,NA,"HPRD","BMP2","ACVR2B","known","literature supported","BMP","Secreted Signaling","matched"
"BMP2_BMPR1A","BMP2","bone morphogenetic protein 2","BMPR1A","bone morphogenetic protein receptor, type IA","DLRP","HPMR",NA,"HPRD","BMP2","BMPR1A","known","literature supported","BMP","Secreted Signaling","matched"
"BMP2_BMPR1B","BMP2","bone morphogenetic protein 2","BMPR1B","bone morphogenetic protein receptor, type IB","DLRP","HPMR",NA,"HPRD","BMP2","BMPR1B","known","literature supported","BMP","Secreted Signaling","matched"
"BMP2_BMPR2","BMP2","bone morphogenetic protein 2","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","DLRP","HPMR",NA,"HPRD","BMP2","BMPR2","known","literature supported","BMP","Secreted Signaling","matched"
"BMP4_ACVR2A","BMP4","bone morphogenetic protein 4","ACVR2A","activin A receptor, type IIA","DLRP",NA,NA,NA,"BMP4","ACVR2A","known","literature supported","BMP","Secreted Signaling","matched"
"BMP4_ACVR2B","BMP4","bone morphogenetic protein 4","ACVR2B","activin A receptor, type IIB","DLRP",NA,NA,NA,"BMP4","ACVR2B","known","literature supported","BMP","Secreted Signaling","matched"
"BMP4_BMPR1A","BMP4","bone morphogenetic protein 4","BMPR1A","bone morphogenetic protein receptor, type IA","DLRP","HPMR",NA,"HPRD","BMP4","BMPR1A","known","literature supported","BMP","Secreted Signaling","matched"
"BMP4_BMPR1B","BMP4","bone morphogenetic protein 4","BMPR1B","bone morphogenetic protein receptor, type IB","DLRP","HPMR",NA,"HPRD","BMP4","BMPR1B","known","literature supported","BMP","Secreted Signaling","matched"
"BMP4_BMPR2","BMP4","bone morphogenetic protein 4","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","DLRP","HPMR",NA,"HPRD","BMP4","BMPR2","known","literature supported","BMP","Secreted Signaling","matched"
"BMP5_ACVR1","BMP5","bone morphogenetic protein 5","ACVR1","activin A receptor, type I","DLRP",NA,NA,NA,NA,"ACVR1","known","literature supported","BMP","Secreted Signaling","matched"
"BMP5_ACVR2A","BMP5","bone morphogenetic protein 5","ACVR2A","activin A receptor, type IIA","DLRP",NA,NA,NA,NA,"ACVR2A","known","literature supported","BMP","Secreted Signaling","matched"
"BMP5_ACVR2B","BMP5","bone morphogenetic protein 5","ACVR2B","activin A receptor, type IIB","DLRP",NA,NA,NA,NA,"ACVR2B","known","literature supported","BMP","Secreted Signaling","matched"
"BMP5_BMPR1A","BMP5","bone morphogenetic protein 5","BMPR1A","bone morphogenetic protein receptor, type IA","DLRP",NA,NA,"HPRD",NA,"BMPR1A","known","literature supported","BMP","Secreted Signaling","matched"
"BMP5_BMPR1B","BMP5","bone morphogenetic protein 5","BMPR1B","bone morphogenetic protein receptor, type IB","DLRP",NA,NA,NA,NA,"BMPR1B","known","literature supported","BMP","Secreted Signaling","matched"
"BMP5_BMPR2","BMP5","bone morphogenetic protein 5","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","DLRP",NA,NA,NA,NA,"BMPR2","known","literature supported","BMP","Secreted Signaling","matched"
"BMP6_ACVR1","BMP6","bone morphogenetic protein 6","ACVR1","activin A receptor, type I","DLRP","HPMR",NA,NA,"BMP6","ACVR1","known","literature supported","BMP","Secreted Signaling","matched"
"BMP6_ACVR2A","BMP6","bone morphogenetic protein 6","ACVR2A","activin A receptor, type IIA","DLRP",NA,NA,"HPRD","BMP6","ACVR2A","known","literature supported","BMP","Secreted Signaling","matched"
"BMP6_ACVR2B","BMP6","bone morphogenetic protein 6","ACVR2B","activin A receptor, type IIB","DLRP",NA,NA,NA,"BMP6","ACVR2B","known","literature supported","BMP","Secreted Signaling","matched"
"BMP6_BMPR1A","BMP6","bone morphogenetic protein 6","BMPR1A","bone morphogenetic protein receptor, type IA","DLRP","HPMR",NA,"HPRD","BMP6","BMPR1A","known","literature supported","BMP","Secreted Signaling","matched"
"BMP6_BMPR1B","BMP6","bone morphogenetic protein 6","BMPR1B","bone morphogenetic protein receptor, type IB","DLRP",NA,NA,"HPRD","BMP6","BMPR1B","known","literature supported","BMP","Secreted Signaling","matched"
"BMP6_BMPR2","BMP6","bone morphogenetic protein 6","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","DLRP",NA,NA,"HPRD","BMP6","BMPR2","known","literature supported","BMP","Secreted Signaling","matched"
"BMP7_ACVR1","BMP7","bone morphogenetic protein 7","ACVR1","activin A receptor, type I","DLRP","HPMR",NA,"HPRD","BMP7","ACVR1","known","literature supported","BMP","Secreted Signaling","matched"
"BMP7_ACVR2A","BMP7","bone morphogenetic protein 7","ACVR2A","activin A receptor, type IIA","DLRP","HPMR",NA,"HPRD","BMP7","ACVR2A","known","literature supported","BMP","Secreted Signaling","matched"
"BMP7_ACVR2B","BMP7","bone morphogenetic protein 7","ACVR2B","activin A receptor, type IIB","DLRP",NA,NA,"HPRD","BMP7","ACVR2B","known","literature supported","BMP","Secreted Signaling","matched"
"BMP7_BMPR1A","BMP7","bone morphogenetic protein 7","BMPR1A","bone morphogenetic protein receptor, type IA","DLRP","HPMR",NA,"HPRD","BMP7","BMPR1A","known","literature supported","BMP","Secreted Signaling","matched"
"BMP7_BMPR1B","BMP7","bone morphogenetic protein 7","BMPR1B","bone morphogenetic protein receptor, type IB","DLRP","HPMR",NA,"HPRD","BMP7","BMPR1B","known","literature supported","BMP","Secreted Signaling","matched"
"BMP7_BMPR2","BMP7","bone morphogenetic protein 7","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","DLRP",NA,NA,"HPRD","BMP7","BMPR2","known","literature supported","BMP","Secreted Signaling","matched"
"BMP8B_ACVR1","BMP8B","bone morphogenetic protein 8b","ACVR1","activin A receptor, type I","DLRP",NA,NA,NA,NA,"ACVR1","known","literature supported","BMP","Secreted Signaling","matched"
"BMP8B_ACVR2A","BMP8B","bone morphogenetic protein 8b","ACVR2A","activin A receptor, type IIA","DLRP",NA,NA,NA,NA,"ACVR2A","known","literature supported","BMP","Secreted Signaling","matched"
"BMP8B_ACVR2B","BMP8B","bone morphogenetic protein 8b","ACVR2B","activin A receptor, type IIB","DLRP",NA,NA,NA,NA,"ACVR2B","known","literature supported","BMP","Secreted Signaling","matched"
"BMP8B_BMPR1A","BMP8B","bone morphogenetic protein 8b","BMPR1A","bone morphogenetic protein receptor, type IA","DLRP",NA,NA,NA,NA,"BMPR1A","known","literature supported","BMP","Secreted Signaling","matched"
"BMP8B_BMPR1B","BMP8B","bone morphogenetic protein 8b","BMPR1B","bone morphogenetic protein receptor, type IB","DLRP",NA,NA,NA,NA,"BMPR1B","known","literature supported","BMP","Secreted Signaling","matched"
"BMP8B_BMPR2","BMP8B","bone morphogenetic protein 8b","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","DLRP",NA,NA,NA,NA,"BMPR2","known","literature supported","BMP","Secreted Signaling","matched"
"BTC_EGFR","BTC","betacellulin","EGFR","epidermal growth factor receptor","DLRP","HPMR","IUPHAR","HPRD","BTC","EGFR","known","literature supported","EGF","Secreted Signaling","matched"
"BTC_ERBB2","BTC","betacellulin","ERBB2","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2",NA,NA,NA,"HPRD","BTC","ERBB2","novel","literature supported","EGF","Secreted Signaling","matched"
"BTC_ERBB4","BTC","betacellulin","ERBB4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4","DLRP","HPMR","IUPHAR","HPRD","BTC","ERBB4","known","literature supported","EGF","Secreted Signaling","matched"
"DHH_PTCH1","DHH","desert hedgehog","PTCH1","patched 1",NA,NA,NA,"HPRD","DHH","PTCH","novel","literature supported","HH","Secreted Signaling","matched"
"DHH_PTCH2","DHH","desert hedgehog","PTCH2","patched 2",NA,"HPMR",NA,"HPRD","DHH","PTCH2","known","literature supported","HH","Secreted Signaling","matched"
"EDA_EDA2R","EDA","ectodysplasin A","EDA2R","ectodysplasin A2 receptor",NA,"HPMR","IUPHAR","HPRD","EDA","EDA2R","known","literature supported","EDA","Secreted Signaling","matched"
"EDA_EDAR","EDA","ectodysplasin A","EDAR","ectodysplasin A receptor",NA,"HPMR","IUPHAR","HPRD","EDA","EDAR","known","literature supported","EDA","Secreted Signaling","matched"
"EGF_EGFR","EGF","epidermal growth factor","EGFR","epidermal growth factor receptor","DLRP","HPMR","IUPHAR","HPRD","EGF","EGFR","known","literature supported","EGF","Secreted Signaling","matched"
"EGF_ERBB2","EGF","epidermal growth factor","ERBB2","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2",NA,NA,NA,"HPRD","EGF","ERBB2","novel","literature supported","EGF","Secreted Signaling","matched"
"EREG_EGFR","EREG","epiregulin","EGFR","epidermal growth factor receptor","DLRP","HPMR","IUPHAR","HPRD","EREG","EGFR","known","literature supported","EGF","Secreted Signaling","matched"
"EREG_ERBB2","EREG","epiregulin","ERBB2","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2",NA,NA,NA,NA,"EREG","ERBB2","novel","literature supported","EGF","Secreted Signaling","matched"
"EREG_ERBB4","EREG","epiregulin","ERBB4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4","DLRP",NA,"IUPHAR","HPRD","EREG","ERBB4","known","literature supported","EGF","Secreted Signaling","matched"
"FGF10_FGFR1","FGF10","fibroblast growth factor 10","FGFR1","fibroblast growth factor receptor 1","DLRP",NA,NA,NA,"FGF10","FGFR1","known","literature supported","FGF","Secreted Signaling","matched"
"FGF10_FGFR2","FGF10","fibroblast growth factor 10","FGFR2","fibroblast growth factor receptor 2","DLRP","HPMR",NA,"HPRD","FGF10","FGFR2","known","literature supported","FGF","Secreted Signaling","matched"
"FGF16_FGFR1","FGF16","fibroblast growth factor 16","FGFR1","fibroblast growth factor receptor 1","DLRP",NA,NA,NA,"FGF16","FGFR1","known","literature supported","FGF","Secreted Signaling","matched"
"FGF16_FGFR2","FGF16","fibroblast growth factor 16","FGFR2","fibroblast growth factor receptor 2","DLRP",NA,NA,NA,"FGF16","FGFR2","known","literature supported","FGF","Secreted Signaling","matched"
"FGF16_FGFR3","FGF16","fibroblast growth factor 16","FGFR3","fibroblast growth factor receptor 3","DLRP",NA,NA,NA,"FGF16","FGFR3","known","literature supported","FGF","Secreted Signaling","matched"
"FGF16_FGFR4","FGF16","fibroblast growth factor 16","FGFR4","fibroblast growth factor receptor 4","DLRP",NA,NA,NA,"FGF16","FGFR4","known","literature supported","FGF","Secreted Signaling","matched"
"FGF17_FGFR1","FGF17","fibroblast growth factor 17","FGFR1","fibroblast growth factor receptor 1","DLRP",NA,NA,"HPRD","FGF17","FGFR1","known","literature supported","FGF","Secreted Signaling","matched"
"FGF17_FGFR2","FGF17","fibroblast growth factor 17","FGFR2","fibroblast growth factor receptor 2","DLRP",NA,NA,"HPRD","FGF17","FGFR2","known","literature supported","FGF","Secreted Signaling","matched"
"FGF17_FGFR3","FGF17","fibroblast growth factor 17","FGFR3","fibroblast growth factor receptor 3","DLRP",NA,NA,"HPRD","FGF17","FGFR3","known","literature supported","FGF","Secreted Signaling","matched"
"FGF17_FGFR4","FGF17","fibroblast growth factor 17","FGFR4","fibroblast growth factor receptor 4","DLRP",NA,NA,"HPRD","FGF17","FGFR4","known","literature supported","FGF","Secreted Signaling","matched"
"FGF18_FGFR1","FGF18","fibroblast growth factor 18","FGFR1","fibroblast growth factor receptor 1","DLRP",NA,NA,"HPRD","FGF18","FGFR1","known","literature supported","FGF","Secreted Signaling","matched"
"FGF18_FGFR2","FGF18","fibroblast growth factor 18","FGFR2","fibroblast growth factor receptor 2","DLRP",NA,NA,"HPRD","FGF18","FGFR2","known","literature supported","FGF","Secreted Signaling","matched"
"FGF18_FGFR3","FGF18","fibroblast growth factor 18","FGFR3","fibroblast growth factor receptor 3","DLRP","HPMR",NA,"HPRD","FGF18","FGFR3","known","literature supported","FGF","Secreted Signaling","matched"
"FGF18_FGFR4","FGF18","fibroblast growth factor 18","FGFR4","fibroblast growth factor receptor 4","DLRP",NA,NA,"HPRD","FGF18","FGFR4","known","literature supported","FGF","Secreted Signaling","matched"
"FGF19_FGFR1","FGF19","fibroblast growth factor 19","FGFR1","fibroblast growth factor receptor 1","DLRP",NA,NA,NA,"FGF19","FGFR1","known","literature supported","FGF","Secreted Signaling","matched"
"FGF19_FGFR2","FGF19","fibroblast growth factor 19","FGFR2","fibroblast growth factor receptor 2","DLRP",NA,NA,NA,"FGF19","FGFR2","known","literature supported","FGF","Secreted Signaling","matched"
"FGF19_FGFR3","FGF19","fibroblast growth factor 19","FGFR3","fibroblast growth factor receptor 3","DLRP",NA,NA,NA,"FGF19","FGFR3","known","literature supported","FGF","Secreted Signaling","matched"
"FGF19_FGFR4","FGF19","fibroblast growth factor 19","FGFR4","fibroblast growth factor receptor 4","DLRP","HPMR",NA,"HPRD","FGF19","FGFR4","known","literature supported","FGF","Secreted Signaling","matched"
"FGF1_FGFR1","FGF1","fibroblast growth factor 1 (acidic)","FGFR1","fibroblast growth factor receptor 1","DLRP","HPMR",NA,"HPRD","FGF1","FGFR1","known","literature supported","FGF","Secreted Signaling","matched"
"FGF1_FGFR2","FGF1","fibroblast growth factor 1 (acidic)","FGFR2","fibroblast growth factor receptor 2","DLRP",NA,NA,"HPRD","FGF1","FGFR2","known","literature supported","FGF","Secreted Signaling","matched"
"FGF1_FGFR3","FGF1","fibroblast growth factor 1 (acidic)","FGFR3","fibroblast growth factor receptor 3","DLRP",NA,NA,"HPRD","FGF1","FGFR3","known","literature supported","FGF","Secreted Signaling","matched"
"FGF1_FGFR4","FGF1","fibroblast growth factor 1 (acidic)","FGFR4","fibroblast growth factor receptor 4","DLRP","HPMR",NA,"HPRD","FGF1","FGFR4","known","literature supported","FGF","Secreted Signaling","matched"
"FGF20_FGFR4","FGF20","fibroblast growth factor 20","FGFR4","fibroblast growth factor receptor 4",NA,NA,NA,NA,"FGF20","FGFR4","novel","literature supported","FGF","Secreted Signaling","matched"
"FGF22_FGFR2","FGF22","fibroblast growth factor 22","FGFR2","fibroblast growth factor receptor 2",NA,"HPMR",NA,NA,"FGF22","FGFR2","known","literature supported","FGF","Secreted Signaling","matched"
"FGF23_FGFR1","FGF23","fibroblast growth factor 23","FGFR1","fibroblast growth factor receptor 1",NA,"HPMR",NA,NA,"FGF23","FGFR1","known","literature supported","FGF","Secreted Signaling","matched"
"FGF23_FGFR3","FGF23","fibroblast growth factor 23","FGFR3","fibroblast growth factor receptor 3",NA,NA,NA,"HPRD","FGF23","FGFR3","novel","literature supported","FGF","Secreted Signaling","matched"
"FGF23_FGFR4","FGF23","fibroblast growth factor 23","FGFR4","fibroblast growth factor receptor 4",NA,"HPMR",NA,NA,"FGF23","FGFR4","known","literature supported","FGF","Secreted Signaling","matched"
"FGF2_FGFR1","FGF2","fibroblast growth factor 2 (basic)","FGFR1","fibroblast growth factor receptor 1","DLRP",NA,NA,"HPRD","FGF2","FGFR1","known","literature supported","FGF","Secreted Signaling","matched"
"FGF2_FGFR2","FGF2","fibroblast growth factor 2 (basic)","FGFR2","fibroblast growth factor receptor 2","DLRP","HPMR",NA,NA,"FGF2","FGFR2","known","literature supported","FGF","Secreted Signaling","matched"
"FGF2_FGFR3","FGF2","fibroblast growth factor 2 (basic)","FGFR3","fibroblast growth factor receptor 3","DLRP","HPMR",NA,"HPRD","FGF2","FGFR3","known","literature supported","FGF","Secreted Signaling","matched"
"FGF2_FGFR4","FGF2","fibroblast growth factor 2 (basic)","FGFR4","fibroblast growth factor receptor 4","DLRP","HPMR",NA,"HPRD","FGF2","FGFR4","known","literature supported","FGF","Secreted Signaling","matched"
"FGF3_FGFR1","FGF3","fibroblast growth factor 3","FGFR1","fibroblast growth factor receptor 1","DLRP","HPMR",NA,"HPRD","FGF3","FGFR1","known","literature supported","FGF","Secreted Signaling","matched"
"FGF3_FGFR2","FGF3","fibroblast growth factor 3","FGFR2","fibroblast growth factor receptor 2","DLRP","HPMR",NA,"HPRD","FGF3","FGFR2","known","literature supported","FGF","Secreted Signaling","matched"
"FGF4_FGFR1","FGF4","fibroblast growth factor 4","FGFR1","fibroblast growth factor receptor 1","DLRP","HPMR",NA,"HPRD","FGF4","FGFR1","known","literature supported","FGF","Secreted Signaling","matched"
"FGF4_FGFR2","FGF4","fibroblast growth factor 4","FGFR2","fibroblast growth factor receptor 2","DLRP","HPMR",NA,"HPRD","FGF4","FGFR2","known","literature supported","FGF","Secreted Signaling","matched"
"FGF4_FGFR3","FGF4","fibroblast growth factor 4","FGFR3","fibroblast growth factor receptor 3","DLRP","HPMR",NA,"HPRD","FGF4","FGFR3","known","literature supported","FGF","Secreted Signaling","matched"
"FGF4_FGFR4","FGF4","fibroblast growth factor 4","FGFR4","fibroblast growth factor receptor 4","DLRP","HPMR",NA,"HPRD","FGF4","FGFR4","known","literature supported","FGF","Secreted Signaling","matched"
"FGF5_FGFR1","FGF5","fibroblast growth factor 5","FGFR1","fibroblast growth factor receptor 1","DLRP","HPMR",NA,"HPRD","FGF5","FGFR1","known","literature supported","FGF","Secreted Signaling","matched"
"FGF5_FGFR2","FGF5","fibroblast growth factor 5","FGFR2","fibroblast growth factor receptor 2","DLRP","HPMR",NA,"HPRD","FGF5","FGFR2","known","literature supported","FGF","Secreted Signaling","matched"
"FGF5_FGFR3","FGF5","fibroblast growth factor 5","FGFR3","fibroblast growth factor receptor 3","DLRP",NA,NA,"HPRD","FGF5","FGFR3","known","literature supported","FGF","Secreted Signaling","matched"
"FGF5_FGFR4","FGF5","fibroblast growth factor 5","FGFR4","fibroblast growth factor receptor 4",NA,"HPMR",NA,"HPRD","FGF5","FGFR4","known","literature supported","FGF","Secreted Signaling","matched"
"FGF6_FGFR1","FGF6","fibroblast growth factor 6","FGFR1","fibroblast growth factor receptor 1","DLRP",NA,NA,"HPRD","FGF6","FGFR1","known","literature supported","FGF","Secreted Signaling","matched"
"FGF6_FGFR2","FGF6","fibroblast growth factor 6","FGFR2","fibroblast growth factor receptor 2","DLRP",NA,NA,"HPRD","FGF6","FGFR2","known","literature supported","FGF","Secreted Signaling","matched"
"FGF6_FGFR3","FGF6","fibroblast growth factor 6","FGFR3","fibroblast growth factor receptor 3",NA,NA,NA,"HPRD","FGF6","FGFR3","novel","literature supported","FGF","Secreted Signaling","matched"
"FGF6_FGFR4","FGF6","fibroblast growth factor 6","FGFR4","fibroblast growth factor receptor 4","DLRP","HPMR",NA,"HPRD","FGF6","FGFR4","known","literature supported","FGF","Secreted Signaling","matched"
"FGF7_FGFR1","FGF7","fibroblast growth factor 7","FGFR1","fibroblast growth factor receptor 1",NA,NA,NA,"HPRD","FGF7","FGFR1","novel","literature supported","FGF","Secreted Signaling","matched"
"FGF7_FGFR2","FGF7","fibroblast growth factor 7","FGFR2","fibroblast growth factor receptor 2","DLRP","HPMR",NA,"HPRD","FGF7","FGFR2","known","literature supported","FGF","Secreted Signaling","matched"
"FGF8_FGFR1","FGF8","fibroblast growth factor 8 (androgen-induced)","FGFR1","fibroblast growth factor receptor 1",NA,"HPMR",NA,"HPRD","FGF8","FGFR1","known","literature supported","FGF","Secreted Signaling","matched"
"FGF8_FGFR2","FGF8","fibroblast growth factor 8 (androgen-induced)","FGFR2","fibroblast growth factor receptor 2","DLRP","HPMR",NA,"HPRD","FGF8","FGFR2","known","literature supported","FGF","Secreted Signaling","matched"
"FGF8_FGFR3","FGF8","fibroblast growth factor 8 (androgen-induced)","FGFR3","fibroblast growth factor receptor 3","DLRP","HPMR",NA,"HPRD","FGF8","FGFR3","known","literature supported","FGF","Secreted Signaling","matched"
"FGF8_FGFR4","FGF8","fibroblast growth factor 8 (androgen-induced)","FGFR4","fibroblast growth factor receptor 4","DLRP","HPMR",NA,"HPRD","FGF8","FGFR4","known","literature supported","FGF","Secreted Signaling","matched"
"FGF9_FGFR1","FGF9","fibroblast growth factor 9","FGFR1","fibroblast growth factor receptor 1","DLRP",NA,NA,"HPRD","FGF9","FGFR1","known","literature supported","FGF","Secreted Signaling","matched"
"FGF9_FGFR2","FGF9","fibroblast growth factor 9","FGFR2","fibroblast growth factor receptor 2","DLRP","HPMR",NA,"HPRD","FGF9","FGFR2","known","literature supported","FGF","Secreted Signaling","matched"
"FGF9_FGFR3","FGF9","fibroblast growth factor 9","FGFR3","fibroblast growth factor receptor 3","DLRP","HPMR",NA,"HPRD","FGF9","FGFR3","known","literature supported","FGF","Secreted Signaling","matched"
"FGF9_FGFR4","FGF9","fibroblast growth factor 9","FGFR4","fibroblast growth factor receptor 4","DLRP",NA,NA,"HPRD","FGF9","FGFR4","known","literature supported","FGF","Secreted Signaling","matched"
"FLT3LG_FLT3","FLT3LG","fms-related tyrosine kinase 3 ligand","FLT3","fms-related tyrosine kinase 3","DLRP","HPMR","IUPHAR","HPRD","FLT3LG","FLT3","known","literature supported","FLT3","Secreted Signaling","matched"
"GDF2_ACVR2A","GDF2","growth differentiation factor 2","ACVR2A","activin A receptor, type IIA",NA,NA,NA,NA,"GDF2","ACVR2A","novel","literature supported","BMP10","Secreted Signaling","matched"
"GDF2_ACVRL1","GDF2","growth differentiation factor 2","ACVRL1","activin A receptor type II-like 1",NA,"HPMR",NA,NA,"GDF2","ACVRL1","known","literature supported","BMP10","Secreted Signaling","matched"
"GDF2_BMPR2","GDF2","growth differentiation factor 2","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)",NA,NA,NA,NA,"GDF2","BMPR2","novel","literature supported","BMP10","Secreted Signaling","matched"
"GDF5_ACVR2A","GDF5","growth differentiation factor 5","ACVR2A","activin A receptor, type IIA",NA,NA,NA,"HPRD","GDF5","ACVR2A","novel","literature supported","BMP","Secreted Signaling","matched"
"GDF5_ACVR2B","GDF5","growth differentiation factor 5","ACVR2B","activin A receptor, type IIB",NA,NA,NA,"HPRD","GDF5","ACVR2B","novel","literature supported","BMP","Secreted Signaling","matched"
"GDF5_BMPR1A","GDF5","growth differentiation factor 5","BMPR1A","bone morphogenetic protein receptor, type IA",NA,NA,NA,"HPRD","GDF5","BMPR1A","novel","literature supported","BMP","Secreted Signaling","matched"
"GDF5_BMPR1B","GDF5","growth differentiation factor 5","BMPR1B","bone morphogenetic protein receptor, type IB",NA,"HPMR",NA,"HPRD","GDF5","BMPR1B","known","literature supported","BMP","Secreted Signaling","matched"
"GDF5_BMPR2","GDF5","growth differentiation factor 5","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)",NA,"HPMR",NA,"HPRD","GDF5","BMPR2","known","literature supported","BMP","Secreted Signaling","matched"
"GDF6_BMPR1A","GDF6","growth differentiation factor 6","BMPR1A","bone morphogenetic protein receptor, type IA",NA,"HPMR",NA,"HPRD","GDF6","BMPR1A","known","literature supported","BMP","Secreted Signaling","matched"
"GDF6_BMPR1B","GDF6","growth differentiation factor 6","BMPR1B","bone morphogenetic protein receptor, type IB",NA,NA,NA,"HPRD","GDF6","BMPR1B","novel","literature supported","BMP","Secreted Signaling","matched"
"GDF6_BMPR2","GDF6","growth differentiation factor 6","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)",NA,"HPMR",NA,"HPRD","GDF6","BMPR2","known","literature supported","BMP","Secreted Signaling","matched"
"GDF7_ACVR2A","GDF7","growth differentiation factor 7","ACVR2A","activin A receptor, type IIA",NA,"HPMR",NA,NA,"GDF7","ACVR2A","known","literature supported","BMP","Secreted Signaling","matched"
"GDF7_BMPR1A","GDF7","growth differentiation factor 7","BMPR1A","bone morphogenetic protein receptor, type IA",NA,"HPMR",NA,NA,"GDF7","BMPR1A","known","literature supported","BMP","Secreted Signaling","matched"
"GDF7_BMPR2","GDF7","growth differentiation factor 7","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)",NA,"HPMR",NA,NA,"GDF7","BMPR2","known","literature supported","BMP","Secreted Signaling","matched"
"GDNF_GFRA1","GDNF","glial cell derived neurotrophic factor","GFRA1","GDNF family receptor alpha 1",NA,"HPMR",NA,"HPRD","GDNF","GFRA1","known","literature supported","GDNF","Secreted Signaling","matched"
"GDNF_RET","GDNF","glial cell derived neurotrophic factor","RET","ret proto-oncogene",NA,"HPMR",NA,"HPRD","GDNF","RET","known","literature supported","GDNF","Secreted Signaling","matched"
"HBEGF_EGFR","HBEGF","heparin-binding EGF-like growth factor","EGFR","epidermal growth factor receptor","DLRP","HPMR","IUPHAR","HPRD","HBEGF","EGFR","known","literature supported","EGF","Secreted Signaling","matched"
